,Is protein in granules?
2105897,no
2105898,no
2105928,no
2109855,unsure
2110448,no
2110458,no
2110556,no
2110667,no
2110688,yes
2110689,no
2110704,yes
2110705,no
2110708,no
2110709,no
2110710,no
2110711,yes
2110712,no
2110713,yes
2110714,no
2110731,yes
2110770,no
2110775,no
2110778,no
2110784,no
2110788,yes
2110791,yes
2110792,no
2110793,no
2110794,no
2110795,no
2110796,yes
2110798,no
2110800,no
2110803,no
2110837,no
2110838,no
2110839,no
2110840,no
2110841,no
2110842,no
2110843,no
2110844,no
2110846,no
2110847,yes
2110848,no
2110850,no
2110852,no
2110853,no
2110862,no
2110863,no
2110864,no
2110865,no
2110880,no
2110883,no
2111823,no
2111824,yes
2111826,yes
2111827,no
2111829,no
2111830,no
2111831,no
2111832,no
2111833,no
2111834,no
2111837,no
2111838,no
2111839,yes
2111841,no
2111842,no
2111843,no
2111844,no
2111845,no
2111846,no
2111854,no
2111855,no
2111856,no
2111857,no
2111859,no
2111860,no
2111861,yes
2111862,no
2111863,no
2111864,no
2111865,no
2111866,no
2111867,no
2111868,no
2111869,no
2111870,yes
2111871,no
2111873,yes
2111874,no
2111875,no
2111876,no
2111877,no
2111878,no
2111879,no
2111880,yes
2111881,yes
2111882,no
2111883,no
2111884,no
2111885,no
2111886,no
2111887,no
2111908,no
2111909,no
2111910,no
2111911,yes
2111912,no
2111913,no
2111915,no
2111916,no
2111919,no
2112061,no
2112062,yes
2112063,no
2112064,no
2112065,no
2112066,no
2112067,yes
2112068,no
2112069,no
2112070,no
2112071,no
2112073,no
2112074,yes
2112076,no
2112077,no
2112079,no
2112081,no
2112086,no
2112088,no
2112090,no
2112095,no
2112097,no
2112099,no
2112100,no
2112104,no
2113078,no
2113561,no
2113921,no
2113922,unsure
2113923,no
2113924,no
2113925,no
2113926,no
2113928,no
2113929,no
2113930,no
2113933,no
2113934,yes
2113938,no
2113939,no
2113940,no
2113941,no
2113942,no
2113944,yes
2113946,yes
2113948,no
2113949,no
2113950,no
2113952,no
2113953,no
2113954,yes
2113955,no
2113956,no
2113957,no
2113958,no
2113959,no
2113960,no
2113962,no
2113963,no
2113967,no
2113969,no
2113972,no
2113975,no
2113978,yes
2113979,no
2113980,no
2113981,no
2113982,no
2113984,no
2113985,no
2113986,yes
2113987,no
2113990,yes
2113991,no
2113992,no
2113993,no
2113996,no
2113997,no
2113998,no
2114004,no
2114008,no
2114009,no
2114010,no
2114011,no
2114012,no
2114014,no
2114015,no
2114016,yes
2114017,no
2114018,no
2114019,no
2114020,no
2114021,no
2114022,no
2114023,no
2114024,no
2114025,no
2114026,no
2114027,no
2114028,no
2114029,no
2114030,no
2114031,no
2114032,no
2114033,no
2114034,no
2114035,no
2114036,no
2114037,yes
2114038,no
2114039,no
2114040,no
2114041,no
2114042,no
2114043,no
2114044,no
2114045,no
2114046,no
2114047,no
2114048,no
2114049,no
2114050,no
2114051,no
2114052,no
2114053,no
2114054,no
2114055,yes
2114056,no
2114057,no
2114058,no
2114059,no
2114060,no
2114061,no
2114062,no
2114063,no
2114064,no
2114065,no
2114066,no
2114067,no
2114086,no
